ros_time,recv_time_utc,remote_host,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,raw_hex,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix
1782816145.615254,2026-06-30T10:42:25.615Z,100.93.178.118,38.047034,-4.041665,,7,4.2,1,,chars=323947 sentences_fix=4244 failed_checksum=0 sats=7 hdop=4.2 lat=38.047034 lon=-4.041665 age_ms=359 alt_m=6.9,63 68 61 72 73 3d 33 32 33 39 34 37 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 34 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 33 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 36 35 20 61 67 65 5f 6d 73 3d 33 35 39 20 61 6c 74 5f 6d 3d 36 2e 39 0d 0a,38.047034,-4.041665,,7,1,
1782816146.668751,2026-06-30T10:42:26.669Z,100.93.178.118,38.047038,-4.041651,,7,4.2,1,,chars=324095 sentences_fix=4246 failed_checksum=0 sats=7 hdop=4.2 lat=38.047038 lon=-4.041651 age_ms=359 alt_m=6.6,63 68 61 72 73 3d 33 32 34 30 39 35 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 34 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 33 38 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 35 31 20 61 67 65 5f 6d 73 3d 33 35 39 20 61 6c 74 5f 6d 3d 36 2e 36 0d 0a,38.047038,-4.041651,,7,1,
1782816147.661408,2026-06-30T10:42:27.661Z,100.93.178.118,38.047041,-4.041637,,7,4.2,1,,chars=324243 sentences_fix=4248 failed_checksum=0 sats=7 hdop=4.2 lat=38.047041 lon=-4.041637 age_ms=359 alt_m=6.2,63 68 61 72 73 3d 33 32 34 32 34 33 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 34 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 34 31 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 33 37 20 61 67 65 5f 6d 73 3d 33 35 39 20 61 6c 74 5f 6d 3d 36 2e 32 0d 0a,38.047041,-4.041637,,7,1,
1782816148.673811,2026-06-30T10:42:28.674Z,100.93.178.118,38.047036,-4.041628,,7,4.2,1,,chars=324391 sentences_fix=4250 failed_checksum=0 sats=7 hdop=4.2 lat=38.047036 lon=-4.041628 age_ms=358 alt_m=5.9,63 68 61 72 73 3d 33 32 34 33 39 31 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 35 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 33 36 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 32 38 20 61 67 65 5f 6d 73 3d 33 35 38 20 61 6c 74 5f 6d 3d 35 2e 39 0d 0a,38.047036,-4.041628,,7,1,
1782816149.758808,2026-06-30T10:42:29.759Z,100.93.178.118,38.047031,-4.041621,,7,4.2,1,,chars=324539 sentences_fix=4252 failed_checksum=0 sats=7 hdop=4.2 lat=38.047031 lon=-4.041621 age_ms=358 alt_m=5.6,63 68 61 72 73 3d 33 32 34 35 33 39 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 35 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 33 31 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 32 31 20 61 67 65 5f 6d 73 3d 33 35 38 20 61 6c 74 5f 6d 3d 35 2e 36 0d 0a,38.047031,-4.041621,,7,1,
1782816150.589971,2026-06-30T10:42:30.590Z,100.93.178.118,38.047026,-4.041615,,7,4.2,1,,chars=324687 sentences_fix=4254 failed_checksum=0 sats=7 hdop=4.2 lat=38.047026 lon=-4.041615 age_ms=361 alt_m=5.3,63 68 61 72 73 3d 33 32 34 36 38 37 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 35 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 36 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 31 35 20 61 67 65 5f 6d 73 3d 33 36 31 20 61 6c 74 5f 6d 3d 35 2e 33 0d 0a,38.047026,-4.041615,,7,1,
1782816151.577648,2026-06-30T10:42:31.578Z,100.93.178.118,38.047024,-4.041613,,7,4.2,1,,chars=324835 sentences_fix=4256 failed_checksum=0 sats=7 hdop=4.2 lat=38.047024 lon=-4.041613 age_ms=363 alt_m=5.0,63 68 61 72 73 3d 33 32 34 38 33 35 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 35 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 31 33 20 61 67 65 5f 6d 73 3d 33 36 33 20 61 6c 74 5f 6d 3d 35 2e 30 0d 0a,38.047024,-4.041613,,7,1,
1782816152.595758,2026-06-30T10:42:32.596Z,100.93.178.118,38.047025,-4.041612,,7,4.2,1,,chars=324983 sentences_fix=4258 failed_checksum=0 sats=7 hdop=4.2 lat=38.047025 lon=-4.041612 age_ms=356 alt_m=4.9,63 68 61 72 73 3d 33 32 34 39 38 33 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 35 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 35 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 31 32 20 61 67 65 5f 6d 73 3d 33 35 36 20 61 6c 74 5f 6d 3d 34 2e 39 0d 0a,38.047025,-4.041612,,7,1,
1782816153.587875,2026-06-30T10:42:33.588Z,100.93.178.118,38.047026,-4.041612,,7,4.2,1,,chars=325131 sentences_fix=4260 failed_checksum=0 sats=7 hdop=4.2 lat=38.047026 lon=-4.041612 age_ms=362 alt_m=4.8,63 68 61 72 73 3d 33 32 35 31 33 31 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 36 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 36 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 31 32 20 61 67 65 5f 6d 73 3d 33 36 32 20 61 6c 74 5f 6d 3d 34 2e 38 0d 0a,38.047026,-4.041612,,7,1,
1782816154.578013,2026-06-30T10:42:34.578Z,100.93.178.118,38.047026,-4.041609,,7,4.2,1,,chars=325279 sentences_fix=4262 failed_checksum=0 sats=7 hdop=4.2 lat=38.047026 lon=-4.041609 age_ms=354 alt_m=4.7,63 68 61 72 73 3d 33 32 35 32 37 39 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 32 36 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 32 20 6c 61 74 3d 33 38 2e 30 34 37 30 32 36 20 6c 6f 6e 3d 2d 34 2e 30 34 31 36 30 39 20 61 67 65 5f 6d 73 3d 33 35 34 20 61 6c 74 5f 6d 3d 34 2e 37 0d 0a,38.047026,-4.041609,,7,1,
